"Внешний ID","категорія","назва укр","назва рос","ціна"
"341","Аксесуари для самогоноваріння","Фланець з оглядовим склом КЛАМП 3'' (76мм)","Фланець з оглядовим склом КЛАМП 3'' (76мм)","1900.0000"
"342","Аксесуари для самогоноваріння","Приймальний ковпак для КЛАМП 2-1/2” (53х12 мм)","Приймальний ковпак для КЛАМП 2-1/2” (53х12 мм)","830.0000"
"343","Аксесуари для самогоноваріння","Приймальний ковпак КЛАМП 1,5-1/2” (38х12 мм)","Приймальний ковпак КЛАМП 1,5-1/2” (38х12 мм)","750.0000"
"S1.5","Аксесуари для самогоноваріння","Прокладка силіконова КЛАМП 1.5""","Прокладка силіконова КЛАМП 1.5""","20.0000"
"S1","Аксесуари для самогоноваріння","Прокладка для КЛАМП 1""","Прокладка для КЛАМП 1"" та 38 мм","20.0000"
"S3","Аксесуари для самогоноваріння","Прокладка силіконова для КЛАМП 3""","Прокладка силіконова для КЛАМП 3""","28.0000"
"S2","Аксесуари для самогоноваріння","Прокладка силіконова для КЛАМП 2""","Прокладка силіконова для КЛАМП 2""","25.0000"
"348","Аксесуари для самогоноваріння","Штуцер «ялинка» на КЛАМП 1/2"" (15мм)","Штуцер «ялинка» на КЛАМП 1/2"" (15мм)","260.0000"
"DN2","Аксесуари для самогоноваріння","Хомут накидний КЛАМП 2""","Хомут накидний КЛАМП 2""","140.0000"
"DN1.5","Аксесуари для самогоноваріння","Хомут накидной КЛАМП 1,5''","Хомут накидний КЛАМП 1,5''","107.0000"
"DN3","Аксесуари для самогоноваріння","Хомут накидний КЛАМП 3""","Хомут накидний КЛАМП 3""","200.0000"
"3520","Солод для пива","Солод BEST Munich","Солод BEST Munich","79.5000"
"3537","Солод для пива","Солод пшеничний BEST Heidelberg Wheat Malt","Солод пшеничний BEST Heidelberg Wheat Malt","97.0000"
"3575","Освітлювачі для сусла, цукор пивоварний, ферменти","Кислота лимонна","Кислота лимонна","192.0000"
"3582","Солод для пива","Солод BEST Acidulated 0.25кг","Солод BEST Acidulated 0.25кг","38.9000"
"359","Солод для пива","Солод BEST Wheat Malt Dark","Солод BEST Wheat Malt Dark","85.8000"
"21025","Комплектуючі","Прокладка кришки для бочок 60-120л","Прокладка кришки для бочок 60-120л","465.0000"
"21019","Комплектуючі","Хомут пластикової кришки","Хомут пластикової кришки","270.0000"
"362","Бутлі, пляшки","Пивна пляшка 500 мл під крону кришку","Пивна пляшка 500 мл під крону кришку","27.5000"
"3636","Хміль для пива","Хміль Yellow Sub - 50g, α-6,0%","Хміль Yellow Sub - 50g,α-6,0%","180.0000"
"3650","Аксесуари для самогоноваріння","Відвід 90 н/ж 52х1.5 1.4301 S-S DIN11852","Відвід 90 н/ж 52х1.5 1.4301 S-S DIN11852","130.0000"
"","","","Соединение CLAMP н/ж 1,4301 DN50","0.0000"
"","","","Заглушка CLAMP DN65","0.0000"
"","Аксесуари для самогоноваріння","Зажим CLAMP н/ж 1,4301 DN65 DIN32676","Зажим CLAMP н/ж 1,4301 DN65 DIN32676","0.0000"
"","","","Кран шаровый DN15 1/2"" G-G н/ж","0.0000"
