"Внешний ID","назва укр","ціна"
"5240","Хміль CASCADE (КАСКАД) α-5,6%, кг","970.0000"
"47073","Домашня пивоварня Braumeister 20 L BASIC Комплект","95000.0000"
"47073-10","Домашня пивоварня Braumeister 20 L PLUS BASIC Комплект","95000.0000"
"47071-10","Домашня пивоварня Braumeister 20 L PLUS ECO Комплект","87000.0000"
"47072-10","Домашня пивоварня Braumeister 20 L PLUS PRO Комплект","110000.0000"
"45051-10","Домашня пивоварня Braumeister 50L PLUS ECO Комплект","120000.0000"
"45053-10","Домашня пивоварня Braumeister 50L PLUS BASIC Комплект","120000.0000"
"45053","Домашня пивоварня Braumeister 50 L BASIC Комплект","122000.0000"
"535","Міні пивоварня Braumeister 1000L","2355750.0000"
"21031","Ущільнювач кришки на ємність 20/30 л","135.0000"
"72610","Ущільнювач солодової труби Braumeister 20L","540.0000"
"66928","Дрібне сито для Braumeister 20L","675.0000"
"73026","Нержавіючий ТЕН для Braumeister 20/50L","3510.0000"
"UF-035 Var 0005","Ємність універсальна 30 л","10150.0000"
"77467","Солодоподрібнювач Speidel","34000.0000"
"542","Розробка програмного забезпечення","1.0000"
"UF-035 Var 0006","Ємність універсальна 60 л","11250.0000"
"77376","КЕГ КОРНЕЛІУС (CORNELIUS), 9 Л","7020.0000"
"545","Оплата услуг хостинга/1059844","1.0000"
"FD-035-S Var 0001","Ємність ферментаційна конічна 60 л","1.0000"
"FD-055-S Var 0046","Ємність ферментаційна конічна 120 л","1.0000"
"FD-055-S Var 0043","Ємність ферментаційна конічна 1.2B 240 л ZKG","1.0000"
"FD-082-S Var 0063","Ємність ферментаційна конічна 1.2B 625 л ZKG","1.0000"
"FD-100-S Var 0003","Ємність ферментаційна конічна 1.2B 1200 л ZKG","1.0000"
"FD-044-S Var 0019","Ємність ферментаційна 60 л","1.0000"
"FD-044-S Var 0020","Ємність ферментаційна 120 л","1.0000"
"FD-055-S Var 0047","Ємність ферментаційна 240 л","1.0000"
"FD-082-S Var 0067","Ємність ферментаційна 525 л","1.0000"
"FD-082-S Var 0068","Ємність ферментаційна 625 л","1.0000"
"FD-055-S Var 0044","Ємність ферментаційна FD-1.2B 120 л","1.0000"
"FD-055-S Var 0045","Ємність ферментаційна FD-1.2B 240 л","1.0000"
"FD-082-S Var 0064","Ємність ферментаційна FD-1.2B 625 л","1.0000"
"5608","Столик для NOVA LED","2335.0000"
"FD-055-S Var 0080","Ємність ферментаційна 2.5B 120 л","1.0000"
"FD-055-S Var 0082","Ємність ферментаційна 2.5B 240 л","1.0000"
"FD-082-S Var 0113","Ємність ферментаційна 2.5B 625 л","1.0000"
"FD-100-S Var 0002","Ємність ферментаційна 2.5B 1150 л","1.0000"
"UF-028 Var 0001","Ємність універсальна 15 л","9675.0000"
"UF-035 Var 0001","Ємність універсальна 45 л","10800.0000"
"UF-044 Var 0001","Ємність універсальна 95 л","12825.0000"
"UF-044 Var 0003","Ємність універсальна 120 л","14400.0000"
"570","Хміль Нозерн Бревер (Northern Brewer) кг, α - 10%","700.0000"
"","Аламбік 10 л, з дефлегматором","12685.0000"
"CP-0202","Дистилятор для гідролатів 2,4л 2 дюйма","12035.0000"
"E-0414","Аламбік класичний 5 л","10230.0000"
"CP-0503","Дистилятор для гідролатів 5л 3 дюйма","9752.0000"
"T-5550","Аламбік на клампах 40 л з дефлегматором","25200.0000"
"","Аламбік Геракл 18 л з дефлегматором і 2 ректифікаційними тарілками","17257.5000"
"577","Аламбік Геракл 18 літрів з дефлегматором","11652.5000"
"578","Самогонний апарат з дефлегматором 24 л","23170.0000"
"579","Аламбік Геракл 35 л з дефлегматором","14761.8000"
"580","Аламбік Геракл 45 л з дефлегматором","16815.0000"
"","Аламбік Геракл на Клампа","21387.5000"
"","Аламбік на 8 літрів Геракл з дефлегматором","7584.7500"
"Reflux still 42 l 6","Мідний самогонний апарат 42 л, з дефлегматором","47771.0000"
"","Перегінний куб аламбік 50 л з дефлегматором","34072.5000"
"CP-0504","Самогонний апарат Фенікс 5л колона 4""","9000.0000"
"Pot Still 8 l","Самогонний апарат мідний 8л","10970.0000"
"587","Аламбік з колоною на 5 л","15750.0000"
"588","Аламбік з колоною на 10 л","22050.0000"
"589","Аламбік з колоною на 20 л","24750.0000"
"590","Аламбік з колоною на 30 л","28575.0000"
"591","Аламбік з колоною на 40 л","33975.0000"
"592","Аламбік з колоною на 50 л","85500.0000"
"","Самогонний апарат аламбік 100 л зварні стики","46020.0000"
"","Самогонний апарат аламбік 150 л зварні стики","57525.0000"
"","Самогонний апарат аламбік 200 л зварні стики","75225.0000"
"","Самогонний апарат аламбік 250 л зварні стики","87025.0000"
"","Самогонний апарат аламбік 600 л зварні стики","185850.0000"
"","Алькітара для ефірних масел 3 л","0.0000"
"","Алькітара для ефірних масел 5 л","0.0000"
"","Алькітара для ефірних масел 10 л","0.0000"
"","Алькітара класична 3 л","0.0000"
"","Алькітара класична 5 л","0.0000"
"","Алькітара класична 10 л","0.0000"
"","Дистиллятор для ефірних масел на 5 л + Роздільник","5752.5000"
"","Самогонний апарат Арабський 10 л","0.0000"
"","Самогонний апарат Арабський 25 л","0.0000"
"","","0.0000"
"","Самогонний апарат Фенікс на 5 л Premium сито","5624.7700"
"","Самогонний апарат Фенікс на 5 л","5133.0000"
"","Самогонний апарат Фенікс на 8л","5752.5000"
"","Фенікс дистиллятор для ефірних масел на 2л","4714.9900"
"","Французький Шарантський аламбік на 20 л","0.0000"
"","Французький Шарантський аламбік на 30 л","0.0000"
"","Аламбік настільний Діоніс з підставкою","0.0000"
"","Аламбік настільний на 0,5 л Діоніс","3274.5000"
"","Аламбік настільний на 0,9 л Діоніс","2301.0000"
"","Арабія 0,5л деко","0.0000"
"","Арабський аламбік на 2,5 л","0.0000"
"","Дистиллятор ""Kristall"" на 1 л","0.0000"
"","Дистиллятор Arabia на 5 л","0.0000"
"","Дистиллятор Hobby на 2,5 л","0.0000"
"","Дистиллятор Karibik 0,5 л","0.0000"
"","Дистиллятор аламбік на 2 літри з підставкою","0.0000"
"","Дистиллятор з колоною 0,5 л, ручна ковка","0.0000"
"","Дистиллятор Шарант на 0,5 л","0.0000"
"","Дистиляційний апарат Italia на 2,5 л","0.0000"
"","Мініатюрний аламбік на 0,5 л","0.0000"
"","Настільний самогонний апарат Бахус","0.0000"
"","Самогонний апарат аламбік на 1 л","3392.5000"
"","Самогонний апарат аламбік на 2 л","4277.5000"
"","Самогонний апарат аламбік на 3 л","5752.5000"
"","Сувенірний самогонний апарат Фенікс 2 л","3382.7700"
"","Французький Шарантський аламбік на 5 л","10915.0000"
"CP-0805","Апарат для виготовлення ефірних олій 8л 5 дюймів Преміум","30204.0000"
"","Аламбік Геракл на 8 літрів","5605.0000"
"Reflux still 12 l 4","Самогонний апарат 12 л з дефлегматором","17980.0000"
"638","Аламбік Геракл на 18 літрів","13700.0000"
"","Аламбік Геракл на 35 літрів","0.0000"
"640","Аламбік Геракл на 24 літрів","14500.0000"
"","Аламбік Геракл на 45 літрів","0.0000"
"","Аламбік деко 9 см з радіатором","0.0000"
"","Аламбік деко 9 см зі змійовиком","0.0000"
"","Аламбік на 0,2 л на дерев'яній підставці","0.0000"
"","Аламбік економ на 10 л","0.0000"
"","Декоративний дистиллятор на 0,5 л на дерев'яній підставці","0.0000"
"","Самогонний апарат аламбік 10 л клепані стики","10177.5000"
"","Самогонний апарат аламбік 20 л клепані стики","13127.5000"
"","Аламбік зварні стики 20 л","13717.5000"
"","Самогонний апарат аламбік 5 л, зварні стики","7965.0000"
"","Самогонний апарат аламбік 10 л, зварні стики","11800.0000"
"","Самогонний апарат аламбік 30 л, зварні стики","15635.0000"
"","Самогонний апарат аламбік 35 л, зварні стики","16225.0000"
"","ССамогонний апарат аламбік 40 л, зварні стики","19470.0000"
"","Самогонний апарат аламбік 50 л, зварні стики","33925.0000"
"D0601","Дріжджі Кодзі Ангел","450.0000"
"21001","Пластикова овальна ємність для бродіння Speidel 60 л","3735.0000"
"21002","Пластикова овальна ємність для бродіння Speidel 100 л","4715.0000"
"21004","Пластикова овальна ємність для бродіння Speidel 200 л","9675.0000"
"21005","Пластикова овальна ємність для бродіння Speidel 300 л","11700.0000"
"21042","Пластикова овальна ємність для бродіння Speidel 500 л","20090.0000"
"10400","400-літровий транспортний контейнер","1.0000"
"10600","600-літровий транспортний контейнер","1.0000"
"00002-10","Подрібнювач яблук і груш для соку і Гідропрес з нержавіючої сталі 40л","87550.0000"
"669","Похилий конвеєр з нержавіючої сталі","1.0000"
"670","Установка для миття фруктів з Rätzmühle","1.0000"
"47050","Контейнер для соку об'ємом 65 літрів","11700.0000"
"47051","Контейнер для соку об'ємом 110 літрів","13500.0000"
"47052","Контейнер для соку об'ємом 170 літрів","16200.0000"
